pair,seed,paired_available,delta_jupedsim_minus_synthetic__coverage_ratio,delta_jupedsim_minus_synthetic__max_euclidean_boundary_distance,delta_jupedsim_minus_synthetic__radial_deployment_error,delta_jupedsim_minus_synthetic__angular_uniformity_error,delta_jupedsim_minus_synthetic__minimum_inter_guider_distance,delta_jupedsim_minus_synthetic__guide_crowd_safety_violation_count,delta_jupedsim_minus_synthetic__active_guide_count,delta_jupedsim_minus_synthetic__safety_projected_steps,delta_jupedsim_minus_synthetic__safety_infeasible_steps,delta_jupedsim_minus_synthetic__periodic_max_arc_gap,delta_jupedsim_minus_synthetic__episode_final_tracking_rmse
circle,0,True,-0.06388888888888888,0.3101497370663806,0.0026360384659861458,0.19294685485962082,-0.3286063907674781,0.0,8.0,34.0,0.0,,
circle,1,True,0.05277777777777781,-0.2526158426090648,0.08839800079805354,0.02777777777777761,0.047606926400933336,0.0,0.0,0.0,0.0,,
circle,2,True,-0.011111111111111072,0.04165675982145478,-0.21065214474196264,0.01253984452581658,0.10333719124658414,0.0,0.0,0.0,0.0,0.04675487803627121,-0.002573265593037065
circle,3,True,-0.08333333333333337,0.2761430953067838,-0.11871474025166001,0.2648016365518555,-0.5193950898448854,0.0,8.0,36.0,0.0,,
circle,4,True,0.008333333333333304,-0.10793890048942711,0.1463391905398535,-0.010164175988290669,0.12414353458345273,0.0,0.0,-2.0,0.0,0.04432810485812411,-0.0022528215504197414
circle,5,True,-0.05694444444444435,0.17162600159936714,0.0037045821051763794,0.27011418079368327,-0.4919415117318169,0.0,8.0,35.0,0.0,,
circle,6,True,-0.07638888888888884,0.28614132731865216,0.09576069253900293,0.29561398104492514,-0.5184765818999804,0.0,8.0,34.0,0.0,,
circle,7,True,-0.0708333333333333,0.19540523811535926,0.031197157953288812,0.23528778469060938,-0.2705048972059463,0.0,8.0,35.0,0.0,,
circle,8,True,-0.01805555555555549,0.14758070122806122,-0.09875174896347827,0.011165857083691388,0.04013037923558127,0.0,0.0,389.0,0.0,-0.045216019786010975,0.0815877071408837
circle,9,True,-0.05833333333333335,0.1566217657455351,0.09516288862113154,0.18520885807061396,-0.4332968665465995,0.0,8.0,34.0,0.0,,
circle,10,True,-0.03749999999999998,-0.017821778394964793,0.197201435355218,0.08253824484086497,0.24495607456487078,0.0,1.0,-364.0,0.0,-0.1130198551006707,-0.048936892126165366
circle,11,True,-0.07638888888888884,0.39731854134957034,0.15721716646235018,0.2970505196285235,-0.5829380370155273,0.0,8.0,20.0,0.0,,
circle,12,True,-0.07777777777777783,0.24658501988198878,-0.14888783882640771,0.23024357631551695,-0.2715144014874119,0.0,8.0,35.0,0.0,,
circle,13,True,-0.008333333333333415,0.02282026897870626,-0.04206710135344949,0.01682090462304331,0.043411143338386804,0.0,0.0,-1.0,0.0,0.009329538281711791,0.0005310321867941716
circle,14,True,0.030555555555555558,-0.29762373715531365,-0.05723423566909741,0.042729260033336436,-0.129740434305051,0.0,1.0,-365.0,0.0,-0.06459238520660548,-0.2640431218028179
circle,15,True,0.008333333333333304,-0.10947066575268405,0.08119521023220483,-0.02777777777777743,0.05204208372111374,0.0,0.0,0.0,0.0,,
circle,16,True,-0.06666666666666665,0.3231444416134086,0.07722449875766246,0.22153499770843724,-0.5562452851773751,0.0,8.0,7.0,0.0,,
circle,17,True,0.05972222222222223,-0.29874485403347406,-0.06426674953728517,-0.22153801180810104,0.7129645634939512,0.0,-8.0,-33.0,0.0,,
circle,18,True,-0.05972222222222223,0.2675320041344962,0.0014343916062062867,0.20322250336388514,-0.3678671190073166,0.0,8.0,36.0,0.0,,
circle,19,True,0.036111111111111094,-0.22682628767264745,-0.10157211723767812,-3.191891195797325e-16,-0.019829630620948002,0.0,0.0,0.0,0.0,,
ellipse,0,True,0.11527777777777781,-0.535606382282541,-0.016538402030843002,-0.34734320559405013,0.581107304263592,0.0,-8.0,-37.0,0.0,,
ellipse,1,True,-0.02777777777777768,0.08952467924904095,0.007905533793411579,0.04970958254786617,-0.11657257783788644,0.0,1.0,0.0,0.0,-0.18466529841755452,-0.0015241782851331395
ellipse,2,True,0.08611111111111114,-0.518188169131854,0.06083699596353209,-0.024874654248104866,0.10195805686679571,0.0,1.0,-2.0,0.0,-0.2762530041985407,0.0005375272494595059
ellipse,3,True,0.02083333333333337,-0.18886225527522682,-0.020334201459308643,0.055555555555555955,0.1959832890449802,0.0,0.0,0.0,0.0,,
ellipse,4,True,0.005555555555555536,-0.06237233039935686,0.1399341810847774,-0.02777777777777722,-0.12171022923551678,0.0,0.0,0.0,0.0,,
ellipse,5,True,-0.0708333333333333,0.4598967089517598,0.0776818591572983,0.2249723694274668,-0.6686930117240211,0.0,7.0,34.0,0.0,,
ellipse,6,True,0.0,-0.039427869560081596,-0.017427242280655952,-0.027777777777777533,-0.4076769752047673,0.0,0.0,0.0,0.0,,
ellipse,7,True,-0.02499999999999991,0.11776761551746051,0.1633456554986818,0.23896291039710732,-0.6652164621968558,0.0,7.0,33.0,0.0,,
ellipse,8,True,0.0444444444444444,-0.48493076205368446,0.14620605272162196,0.04498229426435213,-0.02022619857815333,0.0,1.0,-3.0,0.0,-0.1440805822477138,-0.013861104675852273
ellipse,9,True,0.047222222222222165,-0.4633199958129597,0.1039330909201664,0.04097904675650807,0.11009050457145753,0.0,1.0,-3.0,0.0,-0.22587344711003965,0.00140600070641687
ellipse,10,True,-0.030555555555555558,0.3017211925623986,0.05185262968345816,0.18484480082260502,-0.1369253805348425,0.0,8.0,34.0,0.0,,
ellipse,11,True,-0.06944444444444442,0.509647090662035,0.017870163674384876,0.3072211609190766,-0.5075411972173607,0.0,8.0,36.0,0.0,,
ellipse,12,True,-0.04166666666666674,0.31565081323877675,-0.13161588470057833,0.2410262300374282,-0.47953421725233625,0.0,8.0,35.0,0.0,,
ellipse,13,True,0.01388888888888884,-0.27775719979207336,0.09308277441177643,0.029009219375730477,0.05450513115940847,0.0,1.0,25.0,0.0,-0.2772408991792137,0.00012597463260094173
ellipse,14,True,0.07500000000000007,-0.30207490299593664,-0.03686789545209446,-0.2452916543795644,0.3825574755954273,0.0,-7.0,-400.0,0.0,,
ellipse,15,True,-0.009722222222222188,0.10900119749278692,0.008899305618745246,0.02777777777777747,0.26743184889791705,0.0,0.0,0.0,0.0,,
ellipse,16,True,-0.02499999999999991,0.03544259953195228,0.0611850881689312,0.17490727261120353,-0.18234664347699603,0.0,8.0,33.0,0.0,,
ellipse,17,True,-0.018055555555555602,0.0959531080860343,0.043429030439146976,0.16623346223539281,-0.17242178112565787,0.0,8.0,31.0,0.0,,
ellipse,18,True,-0.023611111111111138,0.10895370741925992,-0.027828011122112972,0.1850416998737662,-0.3270496968967287,0.0,8.0,33.0,0.0,,
ellipse,19,True,-0.01388888888888895,0.05896334417432536,-0.2106866637778978,-1.1102230246251565e-16,0.29035130067277937,0.0,0.0,0.0,0.0,,
irregular,0,True,-0.03888888888888897,0.10659423991493489,-0.032164471134952244,4.579669976578771e-16,-0.17208919323361038,0.0,0.0,0.0,0.0,,
irregular,1,True,0.0527777777777777,-0.2624427874453128,-0.06978332818267502,0.027777777777777648,0.054084352335306285,0.0,0.0,0.0,0.0,,
irregular,2,True,-0.009722222222222299,-0.3267506250336061,0.0035831110733521854,-0.2767983587144934,0.5989195332416075,0.0,-8.0,-400.0,0.0,,
irregular,3,True,0.03888888888888886,-0.2138649674060744,-0.04691458419899652,2.498001805406602e-16,0.14780828277207747,-1.0,0.0,0.0,0.0,,
irregular,4,True,0.08611111111111103,-0.5128556245286602,0.08983543959299922,-0.28245210073422133,0.7247682778405609,0.0,-8.0,-400.0,0.0,,
irregular,5,True,0.03749999999999998,-0.11554685124329778,0.20467217991121622,0.05555555555555485,0.38245572503973757,0.0,0.0,0.0,0.0,,
irregular,6,True,-0.04583333333333328,0.20149106174361497,-0.016691124683097414,0.21901372620737874,-0.5304532932442261,0.0,8.0,38.0,0.0,,
irregular,7,True,0.07361111111111107,-0.10794081686962897,0.02545873220504269,0.027777777777777846,0.5610337944068846,0.0,0.0,0.0,0.0,,
irregular,8,True,0.02083333333333326,-0.37293465463420583,0.043673803708624614,0.21836871050372547,-0.336149564629175,0.0,8.0,400.0,0.0,,
irregular,9,True,-0.07916666666666661,0.5026296335221399,0.017761798537859086,0.22849408763671247,-0.5123148324430049,0.0,8.0,400.0,0.0,,
irregular,10,True,0.023611111111111027,-0.03419590884131063,-0.028705304634409956,-0.07813323662869298,0.33318918308546,0.0,2.0,-362.0,0.0,-0.11632975136703205,-0.1503094150354682
irregular,11,True,-0.008333333333333304,-0.03791866487625817,0.004477165714763864,-0.027777777777777644,0.22950769196884568,0.0,0.0,0.0,0.0,,
irregular,12,True,0.009722222222222299,0.06109999011016276,0.04175947600977725,-0.05364585697268476,-0.04035059441000943,0.0,0.0,0.0,0.0,0.13612472936392628,0.030591186542349352
irregular,13,True,-0.06944444444444442,0.24045033145071093,-0.056517308647889175,0.03449623197274809,-0.3014984473298641,0.0,1.0,-359.0,0.0,-0.0625137446290509,-0.19036244837329733
irregular,14,True,0.17500000000000004,-0.294514343948586,0.08801888113891004,-0.2072090771211223,0.7191922980727354,0.0,-7.0,-400.0,0.0,,
irregular,15,True,-0.01388888888888884,0.039560526712945965,0.0027874319030914974,0.08333333333333275,-0.2206804815949861,0.0,0.0,0.0,0.0,,
irregular,16,True,-0.10416666666666674,0.5778595892567167,0.03947803104443415,0.21942664297003117,-0.5221617118215951,0.0,9.0,36.0,0.0,,
irregular,17,True,0.036111111111111094,-0.2091488955724199,0.03798391484321306,-0.027777777777777637,0.279439827620956,0.0,0.0,0.0,0.0,,
irregular,18,True,-0.03749999999999998,0.093677233775326,-0.003629579259350535,0.04132729936064783,-0.09725306586833082,0.0,0.0,0.0,0.0,0.07544932771676116,0.01942613612235368
irregular,19,True,0.004166666666666652,-0.34918538102909813,0.1470818253423446,0.027777777777776694,0.2894146460882865,0.0,0.0,0.0,0.0,,
